id;reg_no;license;gender;name;address;contact_no
1;e-enable C;Yes;Male;Bedfordshire Directives;Jewelery;Granite Table
2;Shoes;No;Male;feed overriding;green Dominican Swedish;transmit
3;JBOD Regio;Yes;Female;withdrawal navigate Beauty;Legacy user-centric;world-class Minnesot
4;Chair Camb;Yes;Male;bus next;Computers;Fresh transmit Cambr
5;Officer Va;Yes;Male;Mississippi;copy Colombia Chief;maroon disintermedia
6;monitor;Yes;Female;Mauritius;Optimization help-desk Pizza;driver hacking
7;Officer Ro;No;Male;up De-engineered Marketing;Connecticut Senior;lavender capacity
8;XML SAS Pr;No;Male;Public-key;Fords Clothing;orange Dollar
9;SAS Metal;Yes;Male;Small Pines;interfaces cutting-edge Personal;Administrator user-c
10;Sausages s;Yes;Male;models;withdrawal;Practical Steel Auto
