id;description;name;contact_no;address
1;Monitored evolve;capacitor Berkshire;Tools Mouse out-of-t;e-commerce 5th Jordan
2;Investment Avon Monitored;Account Nicaragua;Haven fault-tolerant;Checking
3;CSS calculate;Branding copy;bluetooth;Mall Virginia
4;Soft Utah generation;THX;New Bike;synthesizing matrix
5;Optimized Cheese Hat;Soap Multi-channelled internet;East Industrial;Movies Cambridgeshire
6;collaborative;Officer Credit;engine Toys;Regional
7;Networked Health;world-class blockchains Functionality;Global Dollar;South
8;Human Pants;payment Pine;invoice Engineer inv;Savings Strategist
9;South;explicit;fuchsia Carolina;Licensed e-tailers
10;ubiquitous RSS Tugrik;Square invoice SAS;scale;interactive Rustic blue
